id,pais,pais_en
1,Afeganistão,Afghanistan
2,Ilhas de Aland,Aland Islands
3,Albânia,Albania
4,Argélia,Algeria
5,Samoa Americana,American Samoa
6,Andorra,Andorra
7,Angola,Angola
8,Anguila,Anguilla
9,Antártida,Antarctica
10,Antígua e Barbuda,Antigua and Barbuda
11,Argentina,Argentina
12,Armênia,Armenia
13,Aruba,Aruba
14,Austrália,Australia
15,áustria,Austria
16,Azerbaijão,Azerbaijan
17,Bahamas,The Bahamas
248,,Kosovo
18,Bahrein,Bahrain
19,Bangladesh,Bangladesh
20,Barbados,Barbados
21,Bielorrússia,Belarus
22,Bélgica,Belgium
23,Belize,Belize
24,Benin,Benin
25,Bermudas,Bermuda
26,Butão,Bhutan
27,Bolívia,Bolivia
28,Bósnia e Herzegovina,Bosnia and Herzegovina
29,Botsuana,Botswana
30,Ilha Bouvet,Bouvet Island
31,Brasil,Brazil
32,Território Britânico do Oceano íÍdico,British Indian Ocean Territory
33,Brunei,Brunei
34,Bulgária,Bulgaria
35,Burkina Faso,Burkina Faso
36,Burundi,Burundi
37,Camboja,Cambodia
38,Camarões,Cameroon
39,Canadá,Canada
40,Cabo Verde,Cape Verde
41,Ilhas Cayman,Cayman Islands
42,República Centro-Africana,Central African Republic
43,Chade,Chad
44,Chile,Chile
45,China,China
46,Ilha Christmas,Christmas Island
47,Ilhas Cocos,Cocos (Keeling) Islands
48,Colômbia,Colombia
49,Comores,Comoros
50,Congo,Congo
51,RD Congo,Democratic Republic of the Congo
52,Ilhas Cook,Cook Islands
53,Costa Rica,Costa Rica
54,Costa do Marfim,Ivory Coast
55,Croácia,Croatia
56,Cuba,Cuba
57,Chipre,Cyprus
58,República Tcheca,Czech Republic
59,Dinamarca,Denmark
60,Djibuti,Djibouti
61,Dominica,Dominica
62,República Dominicana,Dominican Republic
63,Timor Leste,Timor-Leste
64,Equador,Ecuador
65,Egito,Egypt
66,El Salvador,El Salvador
67,Guiné Equatorial,Equatorial Guinea
68,Eritreia,Eritrea
69,Estônia,Estonia
70,Etiópia,Ethiopia
71,Ilhas Malvinas,Falkland Islands
72,Ilhas Faroé,Faroe Islands
73,Fiji,Fiji Islands
74,Finlândia,Finland
75,França,France
76,Guiana Francesa,French Guiana
129,Macedônia do Norte,North Macedonia
77,Polinésia Francesa,French Polynesia
78,Terras Austrais e Antárticas Francesas,French Southern Territories
79,Gabão,Gabon
80,Gâmbia,The Gambia
81,Geórgia,Georgia
82,Alemanha,Germany
83,Gana,Ghana
84,Gibraltar,Gibraltar
85,Grécia,Greece
86,Groelândia,Greenland
87,Granada,Grenada
88,Guadalupe,Guadeloupe
89,Guam,Guam
90,Guatemala,Guatemala
91,Guernsey,Guernsey
92,Guiné,Guinea
93,Guiné-Bissau,Guinea-Bissau
94,Guiana,Guyana
95,Haiti,Haiti
96,Ilha Heard e Ilhas McDonald,Heard Island and McDonald Islands
97,Honduras,Honduras
98,Hong Kong,Hong Kong S.A.R.
99,Hungria,Hungary
100,Islândia,Iceland
101,Índia,India
130,Madagascar,Madagascar
102,Indonésia,Indonesia
103,Irã,Iran
104,Iraque,Iraq
105,Irlanda,Ireland
106,Israel,Israel
107,Itália,Italy
108,Jamaica,Jamaica
109,Japão,Japan
110,Jersey,Jersey
111,Jordânia,Jordan
112,Cazaquistão,Kazakhstan
113,Quênia,Kenya
114,Kiribati,Kiribati
115,Coreia do Norte,North Korea
116,Coreia do Sul,South Korea
117,Kuwait,Kuwait
118,Quirguistão,Kyrgyzstan
119,Laos,Laos
120,Letônia,Latvia
121,Líbano,Lebanon
122,Lesoto,Lesotho
123,Libéria,Liberia
124,Líbia,Libya
125,Liechtenstein,Liechtenstein
126,Lituânia,Lithuania
127,Luxemburgo,Luxembourg
128,Macau,Macau S.A.R.
131,Malawi,Malawi
132,Malásia,Malaysia
133,Maldivas,Maldives
134,Mali,Mali
135,Malta,Malta
136,Ilha de Man,Man (Isle of)
137,Ilhas Marshall,Marshall Islands
138,Martinica,Martinique
139,Mauritânia,Mauritania
140,Maurício,Mauritius
141,Mayotte,Mayotte
142,México,Mexico
143,Micronésia,Micronesia
144,Moldávia,Moldova
145,Mônaco,Monaco
146,Mongólia,Mongolia
147,Montenegro,Montenegro
148,Montserrat,Montserrat
149,Marrocos,Morocco
150,Moçambique,Mozambique
151,Myanmar,Myanmar
152,Namíbia,Namibia
153,Nauru,Nauru
154,Nepal,Nepal
155,Bonaire,"Bonaire, Sint Eustatius and Saba"
156,Holanda,Netherlands
157,Nova Caledônia,New Caledonia
158,Nova Zelândia,New Zealand
159,Nicarágua,Nicaragua
160,Níger,Niger
161,Nigéria,Nigeria
162,Niue,Niue
163,Ilha Norfolk,Norfolk Island
164,Ilhas Marianas,Northern Mariana Islands
165,Noruega,Norway
166,Omã,Oman
167,Paquistão,Pakistan
168,Palau,Palau
169,Palestina,Palestinian Territory Occupied
170,Panamá,Panama
171,Papua Nova Guiné,Papua New Guinea
172,Paraguai,Paraguay
173,Peru,Peru
174,Filipinas,Philippines
175,Ilhas Pitcairn,Pitcairn Island
176,Polônia,Poland
177,Portugal,Portugal
178,Porto Rico,Puerto Rico
179,Catar,Qatar
180,Reunião,Reunion
181,Romênia,Romania
189,São Bartolomeu,Saint-Barthelemy
182,Rússia,Russia
183,Ruanda,Rwanda
184,Santa Helena,Saint Helena
185,São Cristóvão e Neves,Saint Kitts and Nevis
186,Santa Lúcia,Saint Lucia
187,Saint-Pierre e Miquelon,Saint Pierre and Miquelon
188,São Vicente e Granadinas,Saint Vincent and the Grenadines
190,Saint Martin,Saint-Martin (French part)
191,Samoa,Samoa
192,San Marino,San Marino
193,São Tomé e Príncipe,Sao Tome and Principe
194,Arábia Saudita,Saudi Arabia
195,Senegal,Senegal
196,Sérvia,Serbia
197,Seicheles,Seychelles
215,Síria,Syria
198,Serra Leoa,Sierra Leone
199,Singapura,Singapore
200,Eslováquia,Slovakia
201,Eslovênia,Slovenia
202,Ilhas Salomão,Solomon Islands
203,Somália,Somalia
204,República Sul-Africana,South Africa
205,Ilhas Geórgias do Sul e Sandwich do Sul,South Georgia
206,Sudão do Sul,South Sudan
207,Espanha,Spain
208,Sri Lanka,Sri Lanka
209,Sudão,Sudan
210,Suriname,Suriname
211,Svalbard,Svalbard and Jan Mayen Islands
212,Suazilândia,Eswatini
213,Suécia,Sweden
214,Suíça,Switzerland
216,Taiwan,Taiwan
217,Tajiquistão,Tajikistan
218,Tanzânia,Tanzania
219,Tailândia,Thailand
